,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
580,724.0,1.0,1.0,1068.0,475.0,0.07,2.0,200.0,2.190419273533944,149,5,159
400,532.0,1.0,1.0,712.0,475.0,0.07,2.0,200.0,2.2091032327795093,149,17,159
20,148.0,1.0,1.0,142.0,475.0,0.07,2.0,200.0,2.691671839286176,149,21,159
825,916.0,1.0,1.0,1410.0,475.0,0.07,2.0,200.0,2.188955963362225,149,58,159
774,914.0,1.0,1.0,1410.0,475.0,0.07,1.0,600.0,2.166326846433217,147,7,169
70,146.0,1.0,1.0,142.0,475.0,0.07,1.0,600.0,2.7352169695780897,147,71,169
418,488.0,1.0,1.0,712.0,475.0,0.03,3.0,200.0,2.2217932112455485,105,35,169
414,530.0,1.0,1.0,712.0,475.0,0.07,1.0,600.0,2.217156700825913,147,31,169
791,872.0,1.0,1.0,1410.0,475.0,0.03,3.0,200.0,2.1741631689402507,105,24,169
227,296.0,1.0,1.0,356.0,475.0,0.03,3.0,200.0,2.3030691207622453,105,36,169
224,338.0,1.0,1.0,356.0,475.0,0.07,1.0,600.0,2.30216995942104,147,33,169
596,680.0,1.0,1.0,1068.0,475.0,0.03,3.0,200.0,2.2031636761390287,105,21,169
602,722.0,1.0,1.0,1068.0,475.0,0.07,1.0,600.0,2.2057708875795647,147,27,169
52,104.0,1.0,1.0,142.0,475.0,0.03,3.0,200.0,2.70924646706074,105,53,169
830,912.0,1.0,1.0,1410.0,475.0,0.07,1.0,200.0,2.195129218528993,145,63,179
13,144.0,1.0,1.0,142.0,475.0,0.07,1.0,200.0,2.679552158633733,145,14,179
422,528.0,1.0,1.0,712.0,475.0,0.07,1.0,200.0,2.2246289206551437,145,39,179
633,720.0,1.0,1.0,1068.0,475.0,0.07,1.0,200.0,2.2231189820759862,145,58,179
196,336.0,1.0,1.0,356.0,475.0,0.07,1.0,200.0,2.270251236077548,145,5,179
423,474.0,1.0,1.0,712.0,475.0,0.01,5.0,600.0,2.226248108659777,91,40,184
777,858.0,1.0,1.0,1410.0,475.0,0.01,5.0,600.0,2.168079310819527,91,10,184
42,90.0,1.0,1.0,142.0,475.0,0.01,5.0,600.0,2.703410101939108,91,43,184
241,282.0,1.0,1.0,356.0,475.0,0.01,5.0,600.0,2.3168341178314127,91,50,184
616,666.0,1.0,1.0,1068.0,475.0,0.01,5.0,600.0,2.208804435550115,91,41,184
796,850.0,1.0,1.0,1410.0,475.0,0.01,3.0,600.0,2.1748725958620607,83,29,185
408,466.0,1.0,1.0,712.0,475.0,0.01,3.0,600.0,2.2107972252461274,83,25,185
55,82.0,1.0,1.0,142.0,475.0,0.01,3.0,600.0,2.713258393474502,83,56,185
615,658.0,1.0,1.0,1068.0,475.0,0.01,3.0,600.0,2.2087050837300413,83,40,185
226,274.0,1.0,1.0,356.0,475.0,0.01,3.0,600.0,2.3025362932024334,83,35,185
812,831.0,1.0,1.0,1410.0,475.0,0.007,4.0,800.0,2.181898249801057,64,45,186
588,639.0,1.0,1.0,1068.0,475.0,0.007,4.0,800.0,2.197162216294801,64,13,186
46,63.0,1.0,1.0,142.0,475.0,0.007,4.0,800.0,2.707063504700745,64,47,186
409,447.0,1.0,1.0,712.0,475.0,0.007,4.0,800.0,2.211576806658437,64,26,186
246,255.0,1.0,1.0,356.0,475.0,0.007,4.0,800.0,2.326613026346044,64,55,186
45,67.0,1.0,1.0,142.0,475.0,0.007,5.0,800.0,2.706923192972914,68,46,191
434,451.0,1.0,1.0,712.0,475.0,0.007,5.0,800.0,2.2313058556466103,68,51,191
614,643.0,1.0,1.0,1068.0,475.0,0.007,5.0,800.0,2.208680425078507,68,39,191
232,259.0,1.0,1.0,356.0,475.0,0.007,5.0,800.0,2.309589373093496,68,41,191
781,835.0,1.0,1.0,1410.0,475.0,0.007,5.0,800.0,2.1715668405509563,68,14,191
771,915.0,1.0,1.0,1410.0,475.0,0.07,1.0,800.0,2.1652300093617005,148,4,195
607,723.0,1.0,1.0,1068.0,475.0,0.07,1.0,800.0,2.2062797270141496,148,32,195
415,531.0,1.0,1.0,712.0,475.0,0.07,1.0,800.0,2.217633281956042,148,32,195
238,339.0,1.0,1.0,356.0,475.0,0.07,1.0,800.0,2.314203456608461,148,47,195
79,147.0,1.0,1.0,142.0,475.0,0.07,1.0,800.0,2.75628428584907,148,80,195
41,86.0,1.0,1.0,142.0,475.0,0.01,4.0,600.0,2.703274794750401,87,42,198
594,662.0,1.0,1.0,1068.0,475.0,0.01,4.0,600.0,2.2023012931490227,87,19,198
252,278.0,1.0,1.0,356.0,475.0,0.01,4.0,600.0,2.3343158991707003,87,61,198
813,854.0,1.0,1.0,1410.0,475.0,0.01,4.0,600.0,2.182241210584733,87,46,198
413,470.0,1.0,1.0,712.0,475.0,0.01,4.0,600.0,2.216681800290821,87,30,198
192,289.0,1.0,1.0,356.0,475.0,0.03,1.0,400.0,2.2580061172833545,98,1,201
430,481.0,1.0,1.0,712.0,475.0,0.03,1.0,400.0,2.229082613779697,98,47,201
840,865.0,1.0,1.0,1410.0,475.0,0.03,1.0,400.0,2.203717178592408,98,73,201
15,97.0,1.0,1.0,142.0,475.0,0.03,1.0,400.0,2.6836445636096764,98,16,201
639,673.0,1.0,1.0,1068.0,475.0,0.03,1.0,400.0,2.2332195786230136,98,64,201
71,169.0,1.0,1.0,142.0,475.0,0.1,1.0,400.0,2.73645221793338,170,72,203
584,745.0,1.0,1.0,1068.0,475.0,0.1,1.0,400.0,2.195885369592972,170,9,203
419,553.0,1.0,1.0,712.0,475.0,0.1,1.0,400.0,2.222531825461011,170,36,203
245,361.0,1.0,1.0,356.0,475.0,0.1,1.0,400.0,2.3262615381010794,170,54,203
799,937.0,1.0,1.0,1410.0,475.0,0.1,1.0,400.0,2.17574951710794,170,32,203
416,492.0,1.0,1.0,712.0,475.0,0.03,4.0,200.0,2.218106128909584,109,33,204
50,108.0,1.0,1.0,142.0,475.0,0.03,4.0,200.0,2.709050185651343,109,51,204
817,876.0,1.0,1.0,1410.0,475.0,0.03,4.0,200.0,2.1842067619203864,109,50,204
250,300.0,1.0,1.0,356.0,475.0,0.03,4.0,200.0,2.330487340121944,109,59,204
586,684.0,1.0,1.0,1068.0,475.0,0.03,4.0,200.0,2.1960959798054533,109,11,204
240,304.0,1.0,1.0,356.0,475.0,0.03,5.0,200.0,2.3167392219725484,113,49,206
624,688.0,1.0,1.0,1068.0,475.0,0.03,5.0,200.0,2.21562556484926,113,49,206
432,496.0,1.0,1.0,712.0,475.0,0.03,5.0,200.0,2.230038444116517,113,49,206
772,880.0,1.0,1.0,1410.0,475.0,0.03,5.0,200.0,2.165258480006693,113,5,206
53,112.0,1.0,1.0,142.0,475.0,0.03,5.0,200.0,2.710093315770549,113,54,206
648,630.0,1.0,1.0,1068.0,475.0,0.007,2.0,600.0,2.244706794186314,55,73,208
417,438.0,1.0,1.0,712.0,475.0,0.007,2.0,600.0,2.2185372886901047,55,34,208
855,822.0,1.0,1.0,1410.0,475.0,0.007,2.0,600.0,2.220429657980989,55,88,208
197,246.0,1.0,1.0,356.0,475.0,0.007,2.0,600.0,2.2733948012909275,55,6,208
6,54.0,1.0,1.0,142.0,475.0,0.007,2.0,600.0,2.6494028754433088,55,7,208
421,455.0,1.0,1.0,712.0,475.0,0.007,6.0,800.0,2.224610182220096,72,38,229
47,71.0,1.0,1.0,142.0,475.0,0.007,6.0,800.0,2.7074617275404846,72,48,229
629,647.0,1.0,1.0,1068.0,475.0,0.007,6.0,800.0,2.22002715799682,72,54,229
242,263.0,1.0,1.0,356.0,475.0,0.007,6.0,800.0,2.3233813432195194,72,51,229
805,839.0,1.0,1.0,1410.0,475.0,0.007,6.0,800.0,2.1780792697805427,72,38,229
797,851.0,1.0,1.0,1410.0,475.0,0.01,3.0,800.0,2.1749791582941365,84,30,230
60,83.0,1.0,1.0,142.0,475.0,0.01,3.0,800.0,2.720429840202254,84,61,230
429,467.0,1.0,1.0,712.0,475.0,0.01,3.0,800.0,2.228715923607059,84,46,230
248,275.0,1.0,1.0,356.0,475.0,0.01,3.0,800.0,2.3282481679098965,84,57,230
611,659.0,1.0,1.0,1068.0,475.0,0.01,3.0,800.0,2.207375017632057,84,36,230
788,862.0,1.0,1.0,1410.0,475.0,0.01,6.0,600.0,2.1738377919980354,95,21,232
636,670.0,1.0,1.0,1068.0,475.0,0.01,6.0,600.0,2.228263464155544,95,61,232
39,94.0,1.0,1.0,142.0,475.0,0.01,6.0,600.0,2.7022896179604983,95,40,232
253,286.0,1.0,1.0,356.0,475.0,0.01,6.0,600.0,2.3358630624167698,95,62,232
431,478.0,1.0,1.0,712.0,475.0,0.01,6.0,600.0,2.229161111880423,95,48,232
428,461.0,1.0,1.0,712.0,475.0,0.01,2.0,400.0,2.2276708745739304,78,45,235
59,102.0,1.0,1.0,142.0,475.0,0.03,2.0,600.0,2.719274152929474,103,60,235
581,678.0,1.0,1.0,1068.0,475.0,0.03,2.0,600.0,2.190812894119648,103,6,235
420,486.0,1.0,1.0,712.0,475.0,0.03,2.0,600.0,2.2245045913614763,103,37,235
862,845.0,1.0,1.0,1410.0,475.0,0.01,2.0,400.0,2.228539020496508,78,95,235
832,870.0,1.0,1.0,1410.0,475.0,0.03,2.0,600.0,2.196522435952104,103,65,235
655,653.0,1.0,1.0,1068.0,475.0,0.01,2.0,400.0,2.2525283285691766,78,80,235
258,294.0,1.0,1.0,356.0,475.0,0.03,2.0,600.0,2.352372930617682,103,67,235
200,269.0,1.0,1.0,356.0,475.0,0.01,2.0,400.0,2.2764732141465007,78,9,235
5,77.0,1.0,1.0,142.0,475.0,0.01,2.0,400.0,2.6489718645589493,78,6,235
10,120.0,1.0,1.0,142.0,475.0,0.05,1.0,200.0,2.6706013729976736,121,11,237
649,696.0,1.0,1.0,1068.0,475.0,0.05,1.0,200.0,2.2467703520746958,121,74,237
852,888.0,1.0,1.0,1410.0,475.0,0.05,1.0,200.0,2.215888783809977,121,85,237
448,504.0,1.0,1.0,712.0,475.0,0.05,1.0,200.0,2.244404716466776,121,65,237
193,312.0,1.0,1.0,356.0,475.0,0.05,1.0,200.0,2.2603747185326326,121,2,237
656,607.0,1.0,1.0,1068.0,475.0,0.005,2.0,800.0,2.253611420801371,32,81,239
863,799.0,1.0,1.0,1410.0,475.0,0.005,2.0,800.0,2.229084540650772,32,96,239
7,31.0,1.0,1.0,142.0,475.0,0.005,2.0,800.0,2.649989253843755,32,8,239
