,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
238,274.0,1.0,1.0,317.0,424.0,0.01,3.0,600.0,1.371813286269358,83,47,233
616,658.0,1.0,1.0,953.0,424.0,0.01,3.0,600.0,1.2584340353486436,83,41,233
811,850.0,1.0,1.0,1258.0,424.0,0.01,3.0,600.0,1.2327983717657698,83,44,233
413,466.0,1.0,1.0,635.0,424.0,0.01,3.0,600.0,1.2929865285357318,83,30,233
70,82.0,1.0,1.0,127.0,424.0,0.01,3.0,600.0,1.8458342762684197,83,71,233
206,250.0,1.0,1.0,317.0,424.0,0.007,3.0,600.0,1.3559326157995113,59,15,234
850,826.0,1.0,1.0,1258.0,424.0,0.007,3.0,600.0,1.2454026764508197,59,83,234
638,634.0,1.0,1.0,953.0,424.0,0.007,3.0,600.0,1.2645055709188158,59,63,234
404,442.0,1.0,1.0,635.0,424.0,0.007,3.0,600.0,1.2919432552147283,59,21,234
51,58.0,1.0,1.0,127.0,424.0,0.007,3.0,600.0,1.8140477811728255,59,52,234
604,724.0,1.0,1.0,953.0,424.0,0.07,2.0,200.0,1.2565665164241562,149,29,235
81,148.0,1.0,1.0,127.0,424.0,0.07,2.0,200.0,1.875351838388992,149,82,235
437,532.0,1.0,1.0,635.0,424.0,0.07,2.0,200.0,1.2997673994656846,149,54,235
222,340.0,1.0,1.0,317.0,424.0,0.07,2.0,200.0,1.3641485312841906,149,31,235
806,916.0,1.0,1.0,1258.0,424.0,0.07,2.0,200.0,1.2307153322676176,149,39,235
202,273.0,1.0,1.0,317.0,424.0,0.01,3.0,400.0,1.3537344934164548,82,11,238
854,849.0,1.0,1.0,1258.0,424.0,0.01,3.0,400.0,1.2471903014068952,82,87,238
643,657.0,1.0,1.0,953.0,424.0,0.01,3.0,400.0,1.2663423320930562,82,68,238
46,81.0,1.0,1.0,127.0,424.0,0.01,3.0,400.0,1.8085932428584564,82,47,238
408,465.0,1.0,1.0,635.0,424.0,0.01,3.0,400.0,1.2927702168161723,82,25,238
817,862.0,1.0,1.0,1258.0,424.0,0.01,6.0,600.0,1.2336941627156517,95,50,240
