,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
1103,207,207.0,1.0,1.0,356.0,475.0,0.007,2.0,1.0,600.0,0.993,1.0,80.11881421079423,208,304,2141
432,47,47.0,1.0,1.0,142.0,475.0,0.007,2.0,1.0,600.0,0.993,1.0,89.13312726938372,208,433,2141
3713,687,687.0,1.0,1.0,1410.0,475.0,0.007,2.0,1.0,600.0,0.993,1.0,77.12956798233678,208,514,2141
1986,367,367.0,1.0,1.0,712.0,475.0,0.007,2.0,1.0,600.0,0.993,1.0,77.67769906558159,208,387,2141
2902,527,527.0,1.0,1.0,1068.0,475.0,0.007,2.0,1.0,600.0,0.993,1.0,77.10544371383183,208,503,2141
3431,725,725.0,1.0,1.0,1410.0,475.0,0.07,3.0,1.0,600.0,0.97,1.0,73.18766734312966,726,232,2145
1367,245,245.0,1.0,1.0,356.0,475.0,0.07,3.0,1.0,600.0,0.97,1.0,83.6458763945591,726,568,2145
440,85,85.0,1.0,1.0,142.0,475.0,0.07,3.0,1.0,600.0,0.97,1.0,89.22659868520903,726,441,2145
2081,405,405.0,1.0,1.0,712.0,475.0,0.07,3.0,1.0,600.0,0.97,1.0,78.52888036554533,726,482,2145
2821,565,565.0,1.0,1.0,1068.0,475.0,0.07,3.0,1.0,600.0,0.97,1.0,75.5928260973631,726,422,2145
2839,599,599.0,1.0,1.0,1068.0,475.0,0.007,3.0,4.0,600.0,0.997,1.0,75.79505070052926,280,440,2147
398,119,119.0,1.0,1.0,142.0,475.0,0.007,3.0,4.0,600.0,0.997,1.0,88.54535840171106,280,399,2147
3650,759,759.0,1.0,1.0,1410.0,475.0,0.007,3.0,4.0,600.0,0.997,1.0,75.24174917333364,280,451,2147
1176,279,279.0,1.0,1.0,356.0,475.0,0.007,3.0,4.0,600.0,0.997,1.0,80.9032582549227,280,377,2147
2079,439,439.0,1.0,1.0,712.0,475.0,0.007,3.0,4.0,600.0,0.997,1.0,78.49512862074776,280,480,2147
1200,266,266.0,1.0,1.0,356.0,475.0,0.005,3.0,3.0,600.0,0.99,1.0,81.08917813119578,107,401,2158
3720,691,691.0,1.0,1.0,1410.0,475.0,0.01,2.0,2.0,400.0,0.99,1.0,77.26381556448744,372,521,2158
2885,586,586.0,1.0,1.0,1068.0,475.0,0.005,3.0,3.0,600.0,0.99,1.0,76.59413619726932,107,486,2158
2917,531,531.0,1.0,1.0,1068.0,475.0,0.01,2.0,2.0,400.0,0.99,1.0,77.48892862156346,372,518,2158
425,51,51.0,1.0,1.0,142.0,475.0,0.01,2.0,2.0,400.0,0.99,1.0,88.97690918167751,372,426,2158
379,106,106.0,1.0,1.0,142.0,475.0,0.005,3.0,3.0,600.0,0.99,1.0,88.25040727374687,107,380,2158
3681,746,746.0,1.0,1.0,1410.0,475.0,0.005,3.0,3.0,600.0,0.99,1.0,76.13929265059976,107,482,2158
1084,211,211.0,1.0,1.0,356.0,475.0,0.01,2.0,2.0,400.0,0.99,1.0,79.90139077341978,372,285,2158
2007,371,371.0,1.0,1.0,712.0,475.0,0.01,2.0,2.0,400.0,0.99,1.0,77.83487171101093,372,408,2158
2008,426,426.0,1.0,1.0,712.0,475.0,0.005,3.0,3.0,600.0,0.99,1.0,77.84712571591243,107,409,2158
3652,755,755.0,1.0,1.0,1410.0,475.0,0.005,3.0,4.0,600.0,0.97,1.0,75.24899032155818,116,453,2166
1191,275,275.0,1.0,1.0,356.0,475.0,0.005,3.0,4.0,600.0,0.97,1.0,80.99052778461841,116,392,2166
2775,595,595.0,1.0,1.0,1068.0,475.0,0.005,3.0,4.0,600.0,0.97,1.0,75.19850954153483,116,376,2166
625,115,115.0,1.0,1.0,142.0,475.0,0.005,3.0,4.0,600.0,0.97,1.0,94.29046696899452,116,626,2166
1918,435,435.0,1.0,1.0,712.0,475.0,0.005,3.0,4.0,600.0,0.97,1.0,77.0624884608592,116,319,2166
3715,686,686.0,1.0,1.0,1410.0,475.0,0.007,2.0,1.0,600.0,0.99,1.0,77.1505391413751,207,516,2167
438,46,46.0,1.0,1.0,142.0,475.0,0.007,2.0,1.0,600.0,0.99,1.0,89.20267483345934,207,439,2167
1113,206,206.0,1.0,1.0,356.0,475.0,0.007,2.0,1.0,600.0,0.99,1.0,80.2430769080621,207,314,2167
1990,366,366.0,1.0,1.0,712.0,475.0,0.007,2.0,1.0,600.0,0.99,1.0,77.71399600959309,207,391,2167
2906,526,526.0,1.0,1.0,1068.0,475.0,0.007,2.0,1.0,600.0,0.99,1.0,77.22656840351826,207,507,2167
2850,566,566.0,1.0,1.0,1068.0,475.0,0.007,3.0,1.0,600.0,0.99,1.0,75.9161454319787,247,451,2170
386,86,86.0,1.0,1.0,142.0,475.0,0.007,3.0,1.0,600.0,0.99,1.0,88.34684210843902,247,387,2170
1172,246,246.0,1.0,1.0,356.0,475.0,0.007,3.0,1.0,600.0,0.99,1.0,80.83251611004783,247,373,2170
2086,406,406.0,1.0,1.0,712.0,475.0,0.007,3.0,1.0,600.0,0.99,1.0,78.62087914067176,247,487,2170
3671,726,726.0,1.0,1.0,1410.0,475.0,0.007,3.0,1.0,600.0,0.99,1.0,75.7429931505544,247,472,2170
