,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
274,133,133.0,1.0,1.0,127.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.5227728322802934,614,275,474
1696,419,419.0,1.0,1.0,635.0,424.0,0.03,3.0,2.0,600.0,0.997,1.0,1.2818787145501616,580,97,485
3272,739,739.0,1.0,1.0,1258.0,424.0,0.03,3.0,2.0,600.0,0.997,1.0,1.2101849811012853,580,73,485
162,99,99.0,1.0,1.0,127.0,424.0,0.03,3.0,2.0,600.0,0.997,1.0,1.4804374647286689,580,163,485
862,259,259.0,1.0,1.0,317.0,424.0,0.03,3.0,2.0,600.0,0.997,1.0,1.3210341486577173,580,63,485
2488,579,579.0,1.0,1.0,953.0,424.0,0.03,3.0,2.0,600.0,0.997,1.0,1.2280948329007966,580,89,485
2594,493,493.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.2407215120699542,654,195,489
803,173,173.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.284453680115094,654,4,489
3460,653,653.0,1.0,1.0,1258.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.2320182924665877,654,261,489
1625,333,333.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.2692806690345926,654,26,489
2,13,13.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.3922735621054712,654,3,489
3363,692,692.0,1.0,1.0,1258.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.2184300735440996,533,164,505
1813,479,479.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,600.0,0.997,1.0,1.30439248665585,640,214,505
2425,532,532.0,1.0,1.0,953.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.2171533565122044,533,26,505
810,212,212.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.2923356379646378,533,11,505
3241,799,799.0,1.0,1.0,1258.0,424.0,0.03,4.0,4.0,600.0,0.997,1.0,1.2066982901991838,640,42,505
3370,748,748.0,1.0,1.0,1258.0,424.0,0.01,3.0,3.0,600.0,0.995,1.0,1.2191781332811198,429,171,505
2463,639,639.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,600.0,0.997,1.0,1.2249595494467385,640,64,505
2482,588,588.0,1.0,1.0,953.0,424.0,0.01,3.0,3.0,600.0,0.995,1.0,1.2269823828589088,429,83,505
948,268,268.0,1.0,1.0,317.0,424.0,0.01,3.0,3.0,600.0,0.995,1.0,1.3417851175940494,429,149,505
302,52,52.0,1.0,1.0,127.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.5410018670321013,533,303,505
1662,428,428.0,1.0,1.0,635.0,424.0,0.01,3.0,3.0,600.0,0.995,1.0,1.275022919465436,429,63,505
1600,372,372.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.2607957471637854,533,1,505
38,108,108.0,1.0,1.0,127.0,424.0,0.01,3.0,3.0,600.0,0.995,1.0,1.427591055359982,429,39,505
76,159,159.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,600.0,0.997,1.0,1.444464310628759,640,77,505
907,319,319.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,600.0,0.997,1.0,1.3318157225030336,640,108,505
2420,538,538.0,1.0,1.0,953.0,424.0,0.03,2.0,2.0,600.0,0.995,1.0,1.21608835365884,539,21,519
846,218,218.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,600.0,0.995,1.0,1.310617597599485,539,47,519
3360,698,698.0,1.0,1.0,1258.0,424.0,0.03,2.0,2.0,600.0,0.995,1.0,1.2179832324196287,539,161,519
